route,bound,seg_idx,stop_from_seq,stop_to_seq,stop_from_id,stop_to_id,edge_from,edge_to,kmb_len_m,bus_len_m,excess_m,ratio
68X,outbound,26,27,28,30B08A7B2B2B623F,7ADC6D521E6BECE6,107450,106972_rev,385.2,674.1,288.8,1.75
68X,outbound,27,28,29,7ADC6D521E6BECE6,E02E10C9135624F9,106972_rev,106831_rev,274.4,1458.4,1183.9,5.314
68X,outbound,28,29,30,E02E10C9135624F9,145515B1D2C60CAF,106831_rev,105734,346.7,1563.6,1216.9,4.51
68X,outbound,29,30,31,145515B1D2C60CAF,EC19750840FFEDDC,105734,105735_rev,140.8,712.4,571.5,5.058
960,inbound,0,1,2,ADC51A7EEEE43D6F,C3D2F84C0F0FF415,4287_rev,5291,668.6,1890.6,1221.9,2.827
960,inbound,3,4,5,6F9CEABEE36E8682,A63B90588F747496,2731,4939,361.6,763.0,401.3,2.11
960,inbound,4,5,6,A63B90588F747496,83B717529F9794BC,4939,165041,723.9,808.9,85.0,1.117
960,inbound,5,6,7,83B717529F9794BC,1D8A902219897402,165041,1305,378.3,502.9,124.6,1.329
960,inbound,6,7,8,1D8A902219897402,A81B13297DB1C481,1305,115545,209.3,622.0,412.7,2.971
960,inbound,7,8,9,A81B13297DB1C481,13E0A0449C73F4DE,115545,4833,694.3,852.2,157.9,1.227
960,inbound,8,9,10,13E0A0449C73F4DE,AD97EA183A25102C,4833,261296,2772.7,9959.7,7187.0,3.592
960,inbound,9,10,11,AD97EA183A25102C,DFE346B2C7332BC0,261296,95356,20361.7,25971.4,5609.7,1.276
960,inbound,12,13,14,25BC743BF6EB726E,BC301D7E7F063331,94045_rev,121514_rev,657.5,1245.5,588.0,1.894
960,inbound,13,14,15,BC301D7E7F063331,CBE54DB551C24A02,121514_rev,bridge_960_GAP_6,402.0,1586.7,1184.7,3.947
960,inbound,14,15,16,CBE54DB551C24A02,629D4E7DD9EF1AC6,bridge_960_GAP_6,96999,892.9,618.0,-274.9,0.692
960,inbound,15,16,17,629D4E7DD9EF1AC6,B3B160F8F8017035,96999,94968_rev,417.2,872.5,455.3,2.091
