observation_id,edge_ids,matched,reason,edge_count,total_length,expected_length,max_speed_kmh,missing_len_cnt,match_method
27,"[""165041"", ""1043"", ""165040"", ""1819_rev"", ""3462_rev"", ""1305_rev"", ""1305"", ""3486_rev"", ""676"", ""2992_rev""]",True,OK,10,785.9,378.3,50.0,0,distance_bisect
28,"[""4833"", ""4833_rev""]",True,HIGHSPEED_FILTERED,2,191.1,694.3,50.0,0,distance_bisect
29,"[""1076"", ""261636"", ""261640"", ""261652"", ""263306"", ""266766"", ""266767"", ""2860"", ""266775_rev"", ""2473_rev"", ""63618_rev"", ""5553"", ""279003_rev"", ""278986"", ""275883_rev"", ""3160"", ""3692"", ""1766"", ""278183_rev"", ""2666_rev"", ""29"", ""3582"", ""2486"", ""4728"", ""4734"", ""3373""]",True,OK,26,3828.1,2772.7,80.0,0,distance_bisect
30,"[""5276"", ""261300"", ""261301"", ""104992"", ""104993"", ""105134"", ""104347"", ""105218"", ""105252"", ""279836"", ""285647"", ""274183"", ""106892"", ""163828"", ""163829"", ""106880_rev"", ""105479_rev"", ""107163_rev"", ""106815_rev"", ""106551_rev"", ""106816_rev"", ""265785_rev"", ""106820_rev"", ""107167_rev"", ""107173_rev"", ""106809_rev"", ""285604_rev"", ""261296_rev"", ""261296"", ""285604"", ""107174"", ""106808"", ""107167"", ""106820"", ""265785"", ""265786"", ""265787"", ""265804"", ""112103"", ""110011"", ""9002"", ""8041_rev"", ""7658_rev"", ""8307_rev"", ""8671_rev"", ""8456_rev"", ""9934_rev"", ""8792_rev"", ""8469_rev"", ""8109_rev"", ""8421_rev"", ""8389_rev"", ""8720_rev"", ""8814_rev"", ""8722_rev"", ""93465_rev"", ""96605_rev"", ""109129_rev"", ""97293_rev"", ""96912_rev"", ""280883_rev"", ""280865_rev"", ""95356"", ""93863"", ""96917_rev""]",True,OK,65,32119.2,20361.7,100.0,0,distance_bisect
31,"[""96619_rev"", ""280864_rev"", ""280863_rev"", ""279248_rev"", ""260221_rev"", ""96955_rev"", ""96654_rev"", ""94375"", ""97002"", ""94204"", ""97036"", ""94155"", ""99319"", ""94045"", ""94045_rev"", ""94646"", ""97088"", ""97089"", ""121514"", ""121514_rev"", ""95208"", ""96999"", ""95216"", ""108913"", ""98725"", ""96349"", ""98727"", ""93986"", ""96348"", ""268924"", ""271791"", ""261533"", ""94969"", ""94977"", ""94966"", ""94967""]",True,OK,36,13273.0,6395.5,80.0,0,distance_bisect
32,"[""94977"", ""94966"", ""94967"", ""94968_rev"", ""94963"", ""94964"", ""108912"", ""98725"", ""96349"", ""98727"", ""93986"", ""96348"", ""268924"", ""271791"", ""261533"", ""94457""]",True,OK,16,957.1,657.5,50.0,0,distance_bisect
33,"[""94968_rev"", ""94963"", ""94964"", ""108912"", ""98725"", ""96349"", ""98727"", ""93986"", ""96348"", ""268924"", ""271791"", ""261533"", ""94969""]",True,OK,13,679.1,402.0,50.0,0,distance_bisect
34,"[""271791"", ""261533"", ""94969"", ""94977"", ""94966"", ""94526"", ""94232"", ""94002"", ""96346"", ""97267_rev"", ""93999"", ""96939""]",True,HIGHSPEED_FILTERED,12,1066.4,892.9,50.0,0,distance_bisect
35,"[""94574"", ""97018""]",True,HIGHSPEED_FILTERED,2,378.7,396.6,50.0,0,distance_bisect
36,"[""97018""]",True,OK,1,378.5,164.8,50.0,0,distance_bisect
37,"[""94642"", ""94396"", ""94573_rev"", ""94574"", ""97018""]",True,OK,5,763.5,646.2,50.0,0,distance_bisect
38,"[""94789"", ""94790"", ""94391_rev"", ""94183"", ""94664"", ""94664_rev"", ""266384""]",True,OK,7,1063.2,640.2,50.0,0,distance_bisect
39,"[""94642"", ""94396"", ""94573_rev"", ""94574"", ""97018"", ""94395"", ""94800"", ""97054_rev""]",True,OK,8,1070.8,1062.5,50.0,0,distance_bisect
40,"[""97004_rev"", ""94456_rev"", ""94457_rev"", ""94457"", ""94968_rev"", ""94963"", ""94964"", ""108912"", ""98725"", ""96349"", ""98727"", ""93986""]",True,OK,12,947.6,899.5,50.0,0,distance_bisect
41,"[""271791"", ""261533"", ""94969"", ""94977"", ""94966"", ""94526"", ""94232"", ""94002"", ""96346"", ""97267_rev"", ""93999"", ""96939"", ""121515"", ""96501"", ""97032"", ""96951"", ""96712"", ""94570"", ""94571"", ""94577"", ""96999"", ""96344"", ""93953_rev"", ""96965""]",True,OK,24,2865.1,5651.6,70.0,0,distance_bisect
42,"[""112113"", ""105610"", ""106938"", ""261602"", ""261601"", ""105612"", ""106931_rev"", ""109995_rev"", ""109996_rev"", ""106946_rev"", ""106944_rev""]",True,OK,11,3435.9,3326.9,100.0,0,distance_bisect
43,"[""2413"", ""2069"", ""5581"", ""2604"", ""2023"", ""513"", ""601"", ""274064"", ""274065"", ""274063"", ""1156"", ""4729"", ""164683"", ""2365"", ""5596"", ""2706"", ""2516"", ""1219"", ""2480"", ""3521"", ""2996"", ""284286"", ""712"", ""2510"", ""3268"", ""1337"", ""3904"", ""3169"", ""196"", ""5008"", ""2448"", ""1187"", ""958"", ""2680_rev"", ""1863_rev""]",True,OK,35,1260.8,1218.9,50.0,0,distance_bisect
44,"[""5550_rev"", ""4674_rev"", ""3460_rev"", ""3866_rev"", ""4202_rev"", ""2309_rev"", ""378_rev"", ""5192"", ""5680"", ""5203_rev"", ""5182"", ""5272"", ""367"", ""1920"", ""946""]",True,OK,15,950.4,642.4,50.0,0,distance_bisect
45,"[""261749_rev"", ""278003_rev"", ""275883_rev"", ""3160"", ""3692"", ""1766"", ""278183_rev"", ""2666_rev"", ""4287_rev"", ""4287""]",True,OK,10,849.1,681.9,50.0,0,distance_bisect
