route,bound,seq,stop_id,stop_name,orig_edge,fixed_edge,changed,is_internal_fix
68X,outbound,27,30B08A7B2B2B623F,"SAI YEUNG CHOI STREET SOUTH, M",107450,107450,False,False
68X,outbound,28,7ADC6D521E6BECE6,"MONGKOK MARKET COMPLEX, YAU TS",106972_rev,106972,True,False
68X,outbound,29,E02E10C9135624F9,MING KEI COLLEGE (MK632),106831_rev,106831,True,False
68X,outbound,30,145515B1D2C60CAF,"HOI FU COURT, PARK AVENUE (MK1",105734,105734,False,False
68X,outbound,31,EC19750840FFEDDC,MONG KOK (PARK AVENUE) BUS TER,105735_rev,105735_rev,False,False
960,inbound,1,ADC51A7EEEE43D6F,EXHIBITION CENTRE STATION BUS ,4287_rev,4287_rev,False,False
960,inbound,2,C3D2F84C0F0FF415,FLEMING ROAD (WC670),5291,5291,False,False
960,inbound,3,47A2AA98F8E20AE2,LUARD ROAD (WC674),,,False,False
960,inbound,4,6F9CEABEE36E8682,PACIFIC PLACE (A3) (CW741),2731,2731,False,False
960,inbound,5,A63B90588F747496,BANK OF CHINA TOWER (CW745),4939,4939,False,False
960,inbound,6,83B717529F9794BC,LI YUEN STREET EAST (CW763),165041,165041,False,False
960,inbound,7,1D8A902219897402,WING KUT STREET (CW767),1305,1305,False,False
960,inbound,8,A81B13297DB1C481,MAN WA LANE (CW769),115545,115545,False,False
960,inbound,9,13E0A0449C73F4DE,QUEEN STREET (CW785),4833,4833,False,False
960,inbound,10,AD97EA183A25102C,WESTERN HARBOUR TUNNEL BBI (YT,261296,261296,False,False
960,inbound,11,DFE346B2C7332BC0,TUEN MUN ROAD BBI (B6) (TM102),95356,95356,False,False
960,inbound,12,2B3A6C000BB085CD,TUEN MUN ROAD BBI (B3) (TM105),,,False,False
960,inbound,13,25BC743BF6EB726E,TUEN MUN TOWN PLAZA (TM122),94045_rev,94045,True,False
960,inbound,14,BC301D7E7F063331,SAN HUI MARKET (TM132),121514_rev,121514,True,False
960,inbound,15,CBE54DB551C24A02,HUNG KIU (TM133),bridge_960_GAP_6,bridge_960_GAP_6,False,False
960,inbound,16,629D4E7DD9EF1AC6,TAI HING SPORTS CENTRE (TM554),96999,96999,False,False
960,inbound,17,B3B160F8F8017035,GREENLAND GARDEN (TM570),94968_rev,94968_rev,False,False
960,inbound,18,6AE148CA74FC4D53,TAI HING STREET (TM572),94457,94457,False,False
960,inbound,19,C192BEF2264E0CC6,SHEK PAI STATION (TM188),97018,97018,False,False
960,inbound,20,542CC0EC83BAEA01,SAN WAI COURT (TM380),94642,94642,False,False
960,inbound,21,840532B7C95DF870,SIU PONG COURT (TM382),94266,94266,False,False
960,inbound,22,315BE0CA231DCD4F,PO TIN BBI - PO TIN (TM190),94664_rev,94664,True,False
960,inbound,23,274BF3A877FB8E6C,KIN SANG BUS TERMINUS (TM931),bridge_960_GAP_10,bridge_960_GAP_10,False,False
960,outbound,1,274BF3A877FB8E6C,KIN SANG BUS TERMINUS (TM931),bridge_960_GAP_10,bridge_960_GAP_10,False,False
960,outbound,2,ECE3F3BE270C27E2,BLOSSOM GARDEN (TM478),94236_rev,94236_rev,False,False
960,outbound,3,594A765BE3A43C73,PO TIN BBI - GOODRICH GARDEN (,94664_rev,94664_rev,False,False
960,outbound,4,507D90B4B976DBD6,TIN LOK HOUSE TIN KING ESTATE ,94266,94266,False,False
960,outbound,5,1F6BFDF34BABCE6A,TIN YUE HOUSE TIN KING ESTATE ,94642,94642,False,False
960,outbound,6,19B569A51034271F,SHEK PAI STATION (TM584),97018,97018,False,False
960,outbound,7,1AD9C759A42F9003,CHINA LIGHT BUILDING (TM470),94457,94457,False,False
960,outbound,8,EB64718829DFC071,TOI SHAN PRIMARY SCHOOL (TM472,94968_rev,94968_rev,False,False
960,outbound,9,92A8D40E66E76F6B,TAI HING SPORTS CENTRE (TM476),96999,96999,False,False
960,outbound,10,DD56DC2336C878C1,HUNG KIU (TM714),96344,96344,False,False
960,outbound,11,8121695666A4D9CE,TUEN YAN STREET TUEN MUN (TM71,93953_rev,93953_rev,False,False
960,outbound,12,C2787E27F82716BF,WALDORF GARDEN (TM721),96965,96965,False,False
960,outbound,13,376C4835851621D4,TUEN MUN ROAD BBI (A15) (TM750,97116,97116,False,False
960,outbound,14,ACB5FEA2BF9FC5AD,TUEN MUN ROAD BBI (A4) (TM755),97116,97116,False,False
960,outbound,15,72F743E4D464E498,WESTERN HARBOUR TUNNEL BBI (YT,106944_rev,106944_rev,False,False
960,outbound,16,25D811895B82ABCA,MACAU FERRY (CW111),2468_rev,2468_rev,False,False
960,outbound,17,709C8604AFB90F27,HARBOUR BUILDING (CW135),513,513,False,False
960,outbound,18,8379C4B1265C27F7,JARDINE HOUSE (CW112),2480,2480,False,False
960,outbound,19,C804CCACB2781EEE,LIPPO CENTRE (E1) (CW160),2448,2448,False,False
960,outbound,20,AD1B202B678A3B56,ARSENAL STREET (WC210),4202_rev,4202_rev,False,False
960,outbound,21,B30799FB3732222B,FLEMING ROAD (WC214),3895,3895,False,False
960,outbound,22,ADC51A7EEEE43D6F,EXHIBITION CENTRE STATION BUS ,4287_rev,4287,True,False
